CUST4821,Aryan Mehta,9876543210,204,07-05-2026 14:22:10,Ac,Double,3,9000,1500,300,600,11400
CUST5932,Riya Sharma,9123456780,118,07-05-2026 15:10:42,Non-Ac,Single,2,2000,1000,200,0,3200
CUST7741,Karan Verma,9988776655,305,07-05-2026 16:45:12,Ac,Single,4,8000,2000,400,800,11200
CUST2648,Neha Kapoor,9090909090,412,07-05-2026 17:30:55,Non-Ac,Double,1,1500,500,100,200,2300
CUST8834,Rohan Das,9811223344,256,07-05-2026 18:12:33,Ac,Double,5,15000,2500,500,1000,19000
CUST3917,Simran Kaur,9345678901,167,07-05-2026 19:05:27,Non-Ac,Single,3,3000,1500,300,600,5400
CUST5028,Aditya Roy,9765432109,389,07-05-2026 19:48:09,Ac,Single,2,4000,1000,200,400,5600
CUST6419,Priya Nair,9871203456,222,07-05-2026 20:14:41,Non-Ac,Double,4,6000,2000,400,800,9200
CUST7385,Vikram Singh,9012345678,144,07-05-2026 21:02:58,Ac,Double,2,6000,1000,200,400,7600
CUST8526,Anjali Gupta,9898989898,331,07-05-2026 21:40:16,Non-Ac,Single,5,5000,2500,500,1000,9000
